epoch,train_loss,val_accuracy,is_best
1,1.2154280043443044,0.9716666666666667,False
2,0.7597590918938318,0.9783333333333334,False
3,0.6381087463696797,0.9883333333333333,False
4,0.5719790541728338,0.9833333333333333,False
5,0.5236265181700389,0.9833333333333333,False
6,0.5055884387095769,0.9933333333333333,False
7,0.4730214910854896,0.9966666666666667,False
8,0.46147179395953813,0.9866666666666667,False
9,0.45186959465344745,0.9883333333333333,False
10,0.44960436720152697,0.985,False
11,0.445807484532396,0.9916666666666667,False
12,0.4428369204799334,0.9966666666666667,False
13,0.4351251912365357,0.9966666666666667,False
14,0.43281465727090834,0.9966666666666667,False
15,0.42112793143093585,0.9883333333333333,False
16,0.4249424312214057,0.995,False
17,0.42874507553378743,0.9933333333333333,False
18,0.40821548337241015,0.9966666666666667,False
19,0.4169975849787394,0.9966666666666667,False
20,0.39886352988580864,0.9966666666666667,False
21,0.41169530038535596,0.9966666666666667,False
22,0.40788747859994573,0.9966666666666667,False
23,0.396108965754509,0.9966666666666667,False
24,0.40211921304961046,0.9933333333333333,False
25,0.4133821800649166,0.9966666666666667,False
26,0.3249663642284771,0.9983333333333333,False
27,0.26734665426293697,0.9983333333333333,False
28,0.22973233701645707,0.9983333333333333,False
29,0.22687479005660863,0.9983333333333333,False
30,0.2105040645415429,1.0,True
31,0.19796783351828345,1.0,False
32,0.20002181782999834,1.0,False
33,0.20526839882755302,1.0,False
34,0.19827988338450087,1.0,False
35,0.19393723718033531,1.0,False
36,0.19197122302555605,0.9983333333333333,False
37,0.19417779600864984,1.0,False
38,0.18900907070409448,1.0,False
39,0.1796270547532719,1.0,False
40,0.19639557438502864,1.0,False
41,0.19432936801687903,1.0,False
42,0.18973106195018652,1.0,False
43,0.1814810584048658,1.0,False
44,0.18237652996227433,1.0,False
45,0.18450359145363474,1.0,False
46,0.19238893761954387,1.0,False
47,0.17799085502249362,1.0,False
48,0.18230910968900813,1.0,False
49,0.17393555347364842,1.0,False
50,0.17815404385400205,1.0,False
51,0.18567051553150427,1.0,False
52,0.186695487363669,1.0,False
53,0.1758645420470651,1.0,False
54,0.18199985498222063,1.0,False
55,0.1810776133098916,1.0,False
